"","BASEFLOW","QUICKFLOW"
"724",1.49,1.01
"725",1.504,0.396
"726",1.519,0.281
"727",1.533,0.667
"728",1.548,0.452
"729",1.562,0.438
"730",1.574,0.226
"731",1.586,0.414
"732",1.596,0.804
"733",1.604,0.296
"734",1.612,0.088
"735",1.618,0.082
"736",1.625,0.175
"737",1.631,0.169
"738",1.642,3.558
"739",1.674,8.526
"740",1.74,7.66
"741",1.829,5.371
"742",1.916,3.184
"743",1.993,3.607
"744",2.06,3.04
"745",2.117,2.283
"746",2.164,2.736
"747",2.2,1.9
"748",2.227,1.473
"749",2.244,1.156
"750",2.255,0.845
"751",2.259,0.941
"752",2.222,1.278
"753",2.158,0.742
"754",2.105,0.595
"755",2.065,0.435
"756",2.038,0.262
"757",2.017,0.283
"758",1.993,1.107
"759",1.964,0.436
"760",1.939,0.261
"761",1.921,0.179
"762",1.911,0.089
"763",1.904,0.096
"764",1.9,0
"765",1.901,0.399
"766",1.937,24.463
"767",2.071,24.229
"768",2.296,13.204
"769",2.536,7.164
"770",2.754,4.546
"771",2.95,3.15
"772",3.127,2.173
"773",3.306,12.994
"774",3.486,37.214
"775",3.644,25.456
"776",3.769,9.431
"777",3.855,6.145
"778",3.906,4.494
"779",3.929,3.271
"780",3.852,2.548
"781",3.669,2.131
"782",3.517,1.783
"783",3.385,1.615
"784",3.266,1.434
"785",3.162,1.238
"786",3.069,1.131
"787",2.986,1.014
"788",2.912,0.888
"789",2.84,0.96
"790",2.77,0.83
"791",2.707,0.793
"792",2.646,0.754
"793",2.589,0.711
"794",2.54,0.56
"795",2.494,0.606
"796",2.449,0.551
"797",2.409,0.491
"798",2.373,0.427
"799",2.338,0.862
"800",2.298,1.102
"801",2.252,0.648
"802",2.208,0.492
"803",2.173,0.427
"804",2.142,0.358
"805",2.117,0.283
"806",2.094,0.306
"807",2.073,0.227
"808",2.055,0.245
"809",2.039,0.161
"810",2.026,0.274
"811",2.01,0.89
"812",1.99,1.01
"813",1.964,0.536
"814",1.935,0.465
"815",1.908,0.292
"816",1.884,0.516
"817",1.858,0.442
"818",1.828,0.572
"819",1.795,0.805
"820",1.757,0.743
"821",1.718,0.482
"822",1.683,0.417
"823",1.649,0.451
"824",1.617,0.383
"825",1.586,0.414
"826",1.556,0.344
"827",1.528,0.372
"828",1.502,0.298
"829",1.482,0.218
"830",1.465,0.235
"831",1.445,0.255
"832",1.425,0.275
"833",1.407,0.193
"834",1.391,0.209
"835",1.378,0.122
"836",1.368,0.132
"837",1.357,0.143
"838",1.346,0.154
"839",1.333,0.167
"840",1.324,0.076
"841",1.318,0.082
"842",1.311,0.089
"843",1.304,0.096
"844",1.3,0
"845",1.3,0.1
"846",1.3,0
